Date,Open,High,Low,Close,Volume,Close_Time,Number_of_Trades,EMA,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2021-12-26,50399.67,51280.0,49412.0,50775.49,22569.88914,1640563199999,797133,52704.45022682515,52.45778350905229,51883.25327515599,45033.38386770115,0,0
2021-12-27,50775.48,52088.0,50449.0,50701.44,28792.21566,1640649599999,1009411,52632.91414729568,67.53413040370657,52204.954772351324,45282.92379907725,0,0
2021-12-28,50701.44,50704.05,47313.01,47543.74,45853.33924,1640735999999,1345774,52451.15792774941,46.905747475185294,52202.28222200788,45171.376349420694,0,0
2021-12-29,47543.74,48139.08,46096.99,46464.66,39498.87,1640822399999,1114074,52237.35443032979,41.09484653272131,52222.318986473605,44808.43672781212,0,0
2021-12-30,46464.66,47900.0,45900.0,47120.87,30352.29569,1640908799999,910157,52054.62284353229,48.0175183613356,52233.054198345526,44724.62865879734,0,0
2021-12-31,47120.88,48548.26,45678.0,46216.93,34937.99796,1640995199999,1059783,51846.13381340614,50.3483965144906,52222.92688819387,44747.00311180614,0,0
2022-01-01,46216.93,47954.63,46208.37,47722.65,19604.46325,1641081599999,714899,51698.86653435592,53.38842281559138,52194.72500858615,44902.08641998529,0,0
2022-01-02,47722.66,47990.0,46654.0,47286.18,18340.4604,1641167999999,709624,51541.27058670035,52.25910194582636,52156.03773541184,45027.19512173101,0,0
2022-01-03,47286.18,47570.0,45696.0,46446.1,27662.0771,1641254399999,885624,51359.30020860391,48.32791762406116,52198.3570526512,44918.01009020596,0,0
2022-01-04,46446.1,47557.54,45500.0,45832.01,35491.4136,1641340799999,1021815,51161.89698686806,37.89891164721888,52251.065729682494,44428.46284174609,0,0
2022-01-05,45832.01,47070.0,42500.0,43451.13,51784.11857,1641427199999,1478532,50886.51245162277,32.543555901412574,52668.87174990459,43276.795392952554,0,0
2022-01-06,43451.14,43816.0,42430.58,43082.31,38880.37305,1641513599999,1150707,50607.790935493394,19.776777155895928,52474.71713778668,42362.87857649904,0,0
2022-01-07,43082.3,43145.83,40610.0,41566.48,54836.50818,1641599999999,1406635,50284.886973511486,17.710607270270714,52294.916298821576,41220.7479868927,0,0
2022-01-08,41566.48,42300.0,40501.0,41679.74,32952.73111,1641686399999,1021908,49977.560295886076,18.90620141549394,51865.75118549606,40404.21024307536,0,0
2022-01-09,41679.74,42786.7,41200.02,41864.62,22724.39426,1641772799999,752733,49687.812428175865,17.78662585017291,50983.17051990471,40013.809480095304,0,0
2022-01-10,41864.62,42248.5,39650.0,41822.49,50729.17019,1641859199999,1250983,49406.90805574101,17.827769802211577,49781.337611849965,39947.220959578604,0,0
2022-01-11,41822.49,43100.0,41268.93,42729.29,37296.43729,1641945599999,1015526,49168.42169660741,29.15495848267132,49301.757205586015,39739.022794413984,0,0
2022-01-12,42729.29,44322.0,42450.0,43902.66,33943.2928,1642031999999,1023902,48980.358778871436,38.99718960221535,48992.654800288736,39682.12519971126,0,0
2022-01-13,43902.65,44500.0,42311.22,42560.11,34910.87762,1642118399999,1036234,48751.06417962603,31.50366377317539,48461.601711701325,39561.64114544152,0,0
2022-01-14,42558.35,43448.78,41725.95,43059.96,32640.88292,1642204799999,946938,48547.81045892511,36.762928804258046,48071.62464796187,39500.62249489527,0,0
2022-01-15,43059.96,43800.0,42555.0,43084.29,21936.05616,1642291199999,752688,48352.684728249216,27.79273680642403,47098.45894924224,39811.16533647204,0,0
2022-01-16,43084.29,43475.0,42581.79,43071.66,20602.35271,1642377599999,732171,48164.076702240316,28.968411597385128,46054.5030523756,40253.0469476244,0,0
2022-01-17,43071.66,43176.18,41540.42,42201.62,27562.08613,1642463999999,918029,47951.13182001744,28.882049383748026,45078.15888481844,40623.03682946727,0,0
2022-01-18,42201.63,42691.0,41250.0,42352.12,29324.08257,1642550399999,905061,47751.167112159674,31.848856702625866,44029.38032763098,41174.68824379759,0,0
2022-01-19,42352.12,42559.13,41138.56,41660.01,31685.72159,1642636799999,924528,47533.625786725395,38.65963454939159,43894.66851203469,41053.5257736796,0,0
2022-01-20,41660.0,43505.0,40553.31,40680.91,42330.33953,1642723199999,1098761,47288.88593719949,35.88637159736611,43965.95375155869,40639.183391298466,0,0
2022-01-21,40680.92,41100.0,35440.45,36445.31,88860.891999,1642809599999,2092561,46901.615368013794,27.1929207323319,45483.583017112476,38389.95841145896,0,0
2022-01-22,36445.31,36835.22,34008.0,35071.42,90471.338961,1642895999999,2099978,46479.10839058473,23.5408535384192,46573.78357730238,36355.71213698335,0,0
2022-01-23,35071.42,36499.0,34601.01,36244.55,44279.52354,1642982399999,1142407,46113.588448063856,29.147901867241345,46872.24064308406,35254.38792834452,0,0
2022-01-24,36244.55,37550.0,32917.17,36660.35,91904.753211,1643068799999,1999352,45775.97278920443,31.36371184935416,46935.229094102455,34453.95090589755,0,0
2022-01-25,36660.35,37545.14,35701.0,36958.32,49232.40183,1643155199999,1248246,45461.05661816142,28.2077386153629,46703.83152666867,33860.924187617056,0,0
2022-01-26,36958.32,38919.98,36234.63,36809.34,69830.16036,1643241599999,1584468,45152.06673894137,20.96823307532121,46085.05992375071,33466.36436196357,0,0
2022-01-27,36807.24,37234.47,35507.01,37160.1,53020.87934,1643327999999,1308408,44866.63935540776,25.94583903876189,45625.9047312018,33154.08955451247,0,0
2022-01-28,37160.11,38000.0,36155.01,37716.56,42154.26956,1643414399999,1061101,44611.27937842891,26.317445684451286,44922.41859877196,33094.232829799475,0,0
